INFO 2020-08-02 13:46:25,755 basehttp 154 "GET /static/css/main.css HTTP/1.1" 200 40091
INFO 2020-08-02 13:46:25,755 basehttp 154 "GET /static/js/common.js%20 HTTP/1.1" 200 891
INFO 2020-08-02 13:46:25,757 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2020-08-02 13:46:25,767 basehttp 154 "GET /static/images/1.png HTTP/1.1" 200 3555
INFO 2020-08-02 13:46:25,773 basehttp 154 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2020-08-02 13:46:25,774 basehttp 154 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2020-08-02 13:46:25,776 basehttp 154 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
WARNING 2020-08-02 13:46:25,798 basehttp 154 "GET /static/js/axios.min.map HTTP/1.1" 404 1672
WARNING 2020-08-02 13:46:25,822 log 222 Not Found: /image_code/b9bea71c-dca2-45c8-9262-694024a89e75/
WARNING 2020-08-02 13:46:25,823 basehttp 154 "GET /image_code/b9bea71c-dca2-45c8-9262-694024a89e75/ HTTP/1.1" 404 2265
INFO 2020-08-02 13:46:26,219 basehttp 154 "GET /users/register/ HTTP/1.1" 200 3540
INFO 2020-08-02 13:46:26,243 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2020-08-02 13:46:26,243 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2020-08-02 13:46:26,244 basehttp 154 "GET /static/js/register.js HTTP/1.1" 200 4278
INFO 2020-08-02 13:46:26,246 basehttp 154 "GET /static/css/main.css HTTP/1.1" 200 40091
INFO 2020-08-02 13:46:26,247 basehttp 154 "GET /static/js/common.js%20 HTTP/1.1" 200 891
INFO 2020-08-02 13:46:26,249 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2020-08-02 13:46:26,254 basehttp 154 "GET /static/images/1.png HTTP/1.1" 200 3555
INFO 2020-08-02 13:46:26,266 basehttp 154 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2020-08-02 13:46:26,266 basehttp 154 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2020-08-02 13:46:26,267 basehttp 154 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
WARNING 2020-08-02 13:46:26,309 basehttp 154 "GET /static/js/axios.min.map HTTP/1.1" 404 1672
WARNING 2020-08-02 13:46:26,319 log 222 Not Found: /image_code/1358b6d2-ac1a-4fde-874c-25966cfcffb7/
WARNING 2020-08-02 13:46:26,319 basehttp 154 "GET /image_code/1358b6d2-ac1a-4fde-874c-25966cfcffb7/ HTTP/1.1" 404 2265
INFO 2020-08-02 13:46:26,442 basehttp 154 "GET /users/register/ HTTP/1.1" 200 3540
INFO 2020-08-02 13:46:26,469 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2020-08-02 13:46:26,470 basehttp 154 "GET /static/css/main.css HTTP/1.1" 200 40091
INFO 2020-08-02 13:46:26,471 basehttp 154 "GET /static/js/common.js%20 HTTP/1.1" 200 891
INFO 2020-08-02 13:46:26,471 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2020-08-02 13:46:26,472 basehttp 154 "GET /static/js/register.js HTTP/1.1" 200 4278
INFO 2020-08-02 13:46:26,477 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2020-08-02 13:46:26,478 basehttp 154 "GET /static/images/1.png HTTP/1.1" 200 3555
INFO 2020-08-02 13:46:26,488 basehttp 154 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2020-08-02 13:46:26,488 basehttp 154 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2020-08-02 13:46:26,489 basehttp 154 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
WARNING 2020-08-02 13:46:26,534 basehttp 154 "GET /static/js/axios.min.map HTTP/1.1" 404 1672
WARNING 2020-08-02 13:46:26,545 log 222 Not Found: /image_code/944d988f-8321-494c-8e60-75a4e7184603/
WARNING 2020-08-02 13:46:26,547 basehttp 154 "GET /image_code/944d988f-8321-494c-8e60-75a4e7184603/ HTTP/1.1" 404 2265
INFO 2020-08-02 13:46:26,625 basehttp 154 "GET /users/register/ HTTP/1.1" 200 3540
INFO 2020-08-02 13:46:26,657 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2020-08-02 13:46:26,657 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2020-08-02 13:46:26,660 basehttp 154 "GET /static/js/common.js%20 HTTP/1.1" 200 891
